STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
3138,ARRAH (SPECIFY LOCATION),Bihar,24,30,27,7.5,7.6,7.6,576,649,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3139,ARARIA (SPECIFY LOCATION),Bihar,26,28,27,7.6,7.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,14,14,14
3140,BETTIAH (SPECIFY LOCATION),Bihar,30,30,30,7.2,7.2,7.2,1200,1200,1200,NA,NA,NA,NA,NA,NA,4,4,4,11,11,11
3141,BODHGAYA (SPECIFY LOCATION),Bihar,28,28,28,8,8,8,568,568,568,NA,NA,NA,NA,NA,NA,23,23,23,43,43,43
3142,BIKRAMGANJ (SPECIFY LOCATION),Bihar,33,33,33,8.2,8.2,8.2,623,623,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143,BAGAHA (SPECIFY LOCATION),Bihar,28,28,28,6.8,6.8,6.8,1980,1980,1980,NA,NA,NA,NA,NA,NA,13,13,13,23,23,23
3144,BARH (SPECIFY LOCATION),Bihar,25,29,27,7.4,7.6,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4
3145,DEHRI ON SONE (SPECIFY LOCATION),Bihar,29,29,29,8.4,8.4,8.4,557,557,557,NA,NA,NA,NA,NA,NA,15,15,15,43,43,43
3146,DUMRAON (SPECIFY LOCATION),Bihar,22,30,26,7.9,7.9,7.9,456,677,567,NA,NA,NA,NA,NA,NA,8,8,8,17,17,17
3147,JAYNAGAR (SPECIFY LOCATION),Bihar,24,31,28,8.2,8.2,8.2,996,996,996,NA,NA,NA,NA,NA,NA,4,11,8,7,33,20
3148,JAMALPUR (SPECIFY LOCATION),Bihar,26,28,27,7.4,7.7,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,13,14,14
3149,KUDRA (SPECIFY LOCATION),Bihar,32,32,32,8.2,8.2,8.2,568,568,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
